title,romurbital,unidentified
qal?e-ye do?tar,monte acuto di TORRI,
qum,monte alifano,
qom,monte boscone,
qomm,monte capitenali,
qumm,monte casoli,
g?yman,monte castellone1,
g?ym?n,monte castellone2,
ad preto+ivm,monte castellone3,
bilhorod-dnistrovskyi fortress,monte cavallerizzo,
saveh,monte cila,
taq-e bostan,monte civitella,
qirmisin,monte coppola,
kermanshahan,monte crocella,
kerm?nsah,monte decoro,
kerm?nš?h?n,monte di cerro,
kerm?nš?h,monte ferrante,
kerm?n??n,monte frontino,
b??tar?n,monte irsi,
b?t ?amban,monte miglio,
kirm?n-š?h,monte nero,
kampanda,monte orve,
kermanshah,monte praticelle,
kerm?nsh?h,monte pruno,
eulaeus,monte pugliano,
ulaya,monte rocca l'abate,
ula,monte rovello,
rhagai,monte salete,
rhaga,monte san felice ,
europos,monte san giovanni,
arsakia,monte san nicola1,
ray,monte san nicola2,
ragh?,monte san nicola3,
raiy,monte san paolo,
rag?,monte sannace,
rayy,monte santa croce1,
rai,monte santa croce2,
ray,monte santa croce3,
reyy,monte santa croce4,
ray,monte santa trinit?,
arsakia,monte sant'angelo ,
eur?pos,monte sant'angelo palomba,
rhagai,monte sant'antonio,
rhaga,monte saraceno di cercemaggiore,
ar-rayy,monte urano,
zagrou pylai,monte vairano,
medike pyle,montenerodomo,
ba?bük,monterano,
ab? j?m?s,montescaglioso,
alvand,montrone,
orontes,morcone,
oroandes m.,mottola,
aspadana,muraglie ,
ispahan,muro leccese,
spahan,muro maurizio,
gay,muro tenente,
gabai,musarna,
gabene,mutina ,
esfah?n,narnia ,
?sfahan,nazzano romano,
e?fah?n,neapolis ,
espah?n,nepet ,
?aiy,neretum ,
gabai,nersae,
isfahan,nola,
i?fah?n,nomentum,
isf?h?n,norba1,
i?f?h?n,norba2,
?ayy,nuceria1,
gay,nuceria2,
i?bah?n,numana,
aspadana,nursia,
aspadana,ocriculum,
al-yah?d?ya,olevano romano,
yah?d?ya,oppidovetere ,
bagistanus,orbetello,
abul mašqê,orcla ,
mašqû gate,ortona dei marsi,
ea-muš?šir-kupp?ya,ostia,
mušl?lum ša ?kalli,ostra,
step gate of the palace,paestum,
lib?r-?pissa,pallanum,
mohenjo-daro,pantaleno,
moen jo daro,parma ,
casa di properzio,parthenope,
emeteursaga,pausulae,
qant?r,pedona ,
casa di meleagro,peltuinum,
house of meleager,perusia ,
domus of l. cornelius primogenes,petelia,
vi.9.2,pezza petrosa,
casa delle nereidi,piano della tirena,
casa d'io e d'inaco,piazza di siena,
casa della medusa,pinna vestinorum,
casa di argo ed io,pisae,
casa di narciso,pisaurum,
giza necropolis,pisticci,
qubbet el-hawa,pistoriae,
yedikilise,pitinum mergens ,
varagavank,pitinum pisaurense ,
bakraçl?,placentia ,
porticus divorum,planina,
cripta e chiesa di san lussorio,plestia,
roman amphitheatre of rimini,poggio castelsecco,
tell baqqaq 2,poggio evangelista,
tall baq?q,pollentia,
azor,pomarico vecchio,
azuru,pompeii,
pyramids of meroe,pontecagnano,
beziers amphitheatre,populonium ,
eulmaš,potentia1,
??bor,potentia2,
tabor,praeneste,
garni,privernum,
bubacene,pruiia,
astakana,punta penna,
astatia,puteoli ,
drapsaka,pyrgi,
adrapsa,quota 1052m,
darapsa,raia san basile,
drepsa,ravenna ,
bactria,reate,
aseni,regium ,
baktrioi,regium lepidum ,
bactriani,ricina ,
zariaspai,rocavecchia ,
baktrianoi,rocca vecchia,
aseni,rocca1,
tepe fullol,rocca2,
tepe fullol,roccasecca,
khisht tepe,roma,
samsvhilde,rotale,
aornos,rotella di collalto,
artamis,rubi,
alexandria oxiana,rudiae ,
ay kh?nom,rufrae ,
?r?krat?ya,rupecanina,
eukratideia,rusellae,
palatinus,saena,
monte palatino,saepinum,
palation,salapia ,
palatine hill,salapia vetus,
tarmita,salernum ,
tirmiz,san brancato,
oxeia,san giovenale,
pareitakene,san giuliano,
casa del bracciale d'oro,san lucido,
house of the wedding of alexander,san pasquale,
vi.17.42,san salvatore,
house of golden bracelet,santa caterina,
casa degli amorini dorati,santa maria dei vignali,
house of the gilded cupids,sant'eustachio,
iunonis curritis lucus,santo mola,
lucus stimulae,sarsina ,
?idda,saticula ,
djidda,satricum,
djedda,saturnia ,
séipéilín ghallarais,savo ,
qaqun,scolacium ,
fundus caelanus,scylla,
eamaškuga,selva del monaco,
didi liakhvi,sena gallica,
greater liakhvi river,sentinum,
styr lewakhi,septempeda,
bol’shaya liakhvi,serra del carpine,
?l?khotovski? nekropol?,serra di cedro,
adsilma,serra di fagato,
su coddu eneolithic village,serra di vaglio,
l?qê,serra guardiola,
pompeîon,serra la citta,
terme suburbane,serra lustrante,
kerameikós,serro dell'incoronata,
kerameikos,sestinum,
roccamonfina,setia,
al-??mirah,signia,
great bulmore roman settlement,silvium ,
thermopolium di vetutius placidus,sinuessa ,
thermopolium of vetutius placidus,sipontum ,
antiochia tharmata,soletum,
eukratidia,sora,
eukratideia,sorrina ,
casiana,spina,
pleiades,spoletium,
ruglata,stabiae,
ad germani,statonia,
abul mullissi,stournoi ,
mullissu gate,suana,
ištar gate,suasa,
ištar-z?ninki-kurb?,suessa aurunca,
ša-sîn-ahh?-er?ba-manzalti-ereqqi-kinn?-palêšu,suessula,
kar-mullissi gate,sulmo,
abul aššur,superaequum,
lilbur-iššak-aššur,surrentum,
lib?r-iššak-aššur,sutrium,
aššur gate,tadinae,
abul sîn-ahh?-er?ba,tannetum ,
halzi gate,tarentum ,
abul aššur-b?ni-apli,tarquinia ,
ashurbanipal gate,tarracina ,
sennacherib gate,taurianum  ,
s?pin-gimir-nakir?,teanum apulum,
abul šamaš,teanum sidicinum,
šamaš gate,teate,
enlil gate,tegianum,
enlil-muk?n-palêya,telamon,
abul ig?g? ša šamaš,telesia,
isola conversina,tempa san nicola,
mitreo del circo massimo,terina,
milecastle 39,terravecchia di sepino,
abul sîn,terventum,
sîn gate,tibur,
gate of the garden,tifernum mataurense,
abul kirâti,tifernum tiberinum,
igisigsig-mušammeh-?ipp?ti,timpone del castello,
nann?ru-n??ir-agê-b?l?t?ya,tolentinum,
largo di torre argentina,toppa santa barbara,
casa del ganimede,torre di satriano,
house of ganymede,torre d'ischia,
ekklesiasterion of morgantina,torre mordillo,
voturia,torre san giovanni,
korucutepe,torretta,
sasaei,trea,
kasp,treba,
iasonion,trebiae,
saripha,trebula,
kushmeikhan,trebula balliniensium ,
khurmuzfarrah,trebula mutuesca ,
ochos,trebula suffenas ,
margiana,tuder,
margush,tuficum,
merv,tuscana,
margianoi,tusculum,
margus,urbs salvia,
antiócheia énudros,uria ,
alexandria,urvinum hortense,
antiochia,urvinum mataurense,
merv,uzentum ,
antiocheia,vado sabatia,
bactra,vallo di san nicola,
zariaspa,vardacate ,
zaraspadum,varia,
b??trI,veii,
baktra,veleia,
zariaspa,velitrae,
ba?l,velzna ,
lan-shih,venafrum,
b?xtri,venusia,
bal?,veretum ,
bal?,verucchio,
branchidai,verulae,
alexandria ariorum,vettona,
artacavan,vetulonia ,
harey,vibinum ,
har?w,vibo valentia ,
her?t,vicalvi,
antiocheia,vico,
har?t,vignanello,
artakauana,visentium,
artakoana,volaterrae ,
areia,volcei,
alexandreia,volsinii,
alexandreia areia,volturnum,
har?iya,vulci,
har?i,,
har?t,,
areia,,
aria,,
arii,,
arius,,
mouseion,,
philopappu hill,,
nicaea,,
nigaea,,
zotal l.,,
sina,,
sena,,
publilia,,
ramesseum,,
tempio di segesta,,
casa di medusa,,
telul eth-thalathat,,
buddh gaya,,
piskokefalo minoan villa,,
hieròn t?s aglaúrou,,
aglaúrou témenos,,
alcala de guadayra,,
alcala de guadaira,,
varaha cave,,
assur archive 48,,
n 33 archive,,
assur archive 49,,
n 34 archive,,
timpone della motta,,
downend roman villa,,
castel sant'angelo,,
aedes flora,,
sabatina,,
via popilia,,
yukar? anzaf,,
regio ii caelimontium,,
de?irmenköy,,
degirmenkoy,,
mausoleum of romulus,,
astakos,,
ga?-kodzor,,
kurban höyük,,
volna 1,,
wittenham clumps,,
b?t ea u damkina,,
b?t ea-šarru u damkina,,
tumur,,
tell deir 'all?,,
illubru,,
ribaniš,,
abu ?ana,,
ab? d?n?,,
s??s?ah,,
gate 1,,
gate 2,,
gate 3,,
castra peregrina,,
barah,,
b?rah,,
mycenaean cemetery of voudeni,,
hadrian's wall,,
antonine wall,,
kinalua,,
tell tayinat,,
kullania,,
kunulua,,
kunalia,,
kinalia,,
kunalua,,
kalneh,,
tall ?a‘iyn?t,,
marad,,
tall ?ad?m,,
tall al-?amm?m,,
ouxioi,,
oxii,,
sostrate,,
shushtar,,
tustar,,
adamdun,,
tostar,,
s?star,,
š?star,,
s?strate,,
š?štar,,
šuštar,,
šušter,,
dabrum,,
karkar,,
tall jidar,,
shushan,,
shusha,,
susa,,
seleucia ad eulaeum,,
shush-i er-kar,,
sousa,,
šwšn,,
s?s?,,
šuši,,
çuš?,,
seleukeia pros t? eulai?,,
?r?n?urra-s?b?r,,
šušim,,
šušîm,,
šušina,,
šušan,,
seleukeia,,
as-s?s,,
s?s,,
?r?n-?uarrah-š?hpuhr,,
šuša,,
šuš,,
š?s,,
susa,,
š?š,,
š?š,,
sh?sh,,
uri,,
ur,,
?r,,
ur,,
ur,,
uri(m),,
tall al-muqayyar,,
uri,,
tall muqayir,,
tall ab? ?al?b??,,
tall ab? ?al?bi?,,
tall ab? ?al?b??,,
abu salabikh,,
abu salabikh,,
ab? ?al?b??,,
tall ab? ?al?b??,,
tall ab? ?al?b??,,
keš,,
tall ab? ??lab?kh,,
veh-az-amid-kavad,,
arragan,,
rostag kavad,,
askar mukram,,
ram hurmizd,,
nippur,,
nufar,,
hippareni,,
niffar,,
niff?r,,
niffer,,
nib(u)ru,,
nibru,,
nuffar,,
nippur,,
