title,romurbital,unidentified
aquae tauri,,
castiglione del lago,,
clanis,,
klanis,,
arna,,
civitella d'arna,,
cingulus,,
clusinus l.,,
caelanum,,
aequiculi,,
anxanum,,
aternus,,
asisium,,
assisi,,
aision,,
camerinum,,
camertes,,
centum cellae,,
civitavecchia,,
kentoukellai,,
traianos limen,,
aqua viva,,
cetamura del chianti,,
asculum,,
ascoli piceno,,
attidium,,
anneianum,,
cluentus,,
cingulum,,
cingulani,,
bratolyubovskii kurgan,,
cosa,,
kosai,,
cosa e ansedonia,,
cosa volcientium,,
forum decii,,
cunerum pr.,,
marta,,
manliana,,
helvia ricina,,
colonia helvia ricina,,
colonia helvia ricina pertinax,,
farfarus,,
fabaris,,
falerio,,
hispellum,,
hispellates,,
eispellon,,
histonium,,
falerii veteres,,
civita castellana,,
phalerioi,,
fanum fugitivi,,
helvillum,,
lucus feroniae,,
loukos feronias,,
feronia,,
cumara,,
forum flaminii,,
phoron phlaminion,,
fulginiae,,
phoulkinion,,
cortona,,
corythus,,
flaminia,,
eretum,,
ereton,,
metaurus,,
metauros,,
ghiaccio forte,,
tempietto del clitunno,,
fons clitumni,,
maternum,,
martanum,,
interpromium,,
graviscae,,
porto clementino,,
graviskoi,,
matrinos,,
torrente piomba,,
matrinus,,
fisternae,,
iguvium,,
igovion,,
gubbio,,
firmum picenum,,
fermo,,
firmon pikenon,,
interamna nahars,,
terni,,
interamnates nartes,,
interamna,,
interamnates,,
matrinum,,
flusor,,
interocrium,,
interokrea,,
cutiliensis l.,,
foruli,,
phorouloi,,
forum aurelii,,
cures,,
kuris,,
intercisa,,
petra pertusa,,
ad intercisa,,
florentia,,
firenze,,
florentia tuscorum,,
interamnia praetuttiorum,,
teramo,,
matilica,,
hatria,,
hadria,,
firmidianum,,
etruria,,
tuscia,,
rasna,,
incerulae,,
marsi,,
marsoi,,
fanum fortunae,,
to hieron tes tyches,,
colonia iulia fanestris,,
fano,,
helvinus,,
cupra montana,,
forum cassii,,
furfo,,
corfinium,,
korphinion,,
horta,,
orte,,
*hurta,,
hortanum,,
falerii,,
falerii novi,,
colonia iunionia faliscorum,,
fescennium,,
heba,,
forum novum,,
crustumius,,
rapax crustumium,,
forum sempronii,,
foros semproniou,,
hercules curinus,,
ferentium,,
faesulae,,
phaisola,,
forum clodii,,
cupra maritima,,
himella,,
luni sul mignone,,
falisci,,
faliscans,,
marrucini,,
marroukinoi,,
villa romana de cortijo robledo,,
triumphal arch of orange,,
vomanus,,
sarsina,,
sársina,,
tres tabernae,,
trasumennus l.,,
lago trasimeno,,
sena gallica,,
senigallia,,
senas,,
sena,,
senagallika,,
volsiniensis l.,,
lake bolsena,,
lago di bolsena,,
lacus volsiniensis,,
tadinae,,
tadinum,,
taginae,,
superaequum,,
velini l.,,
lago di piediluco,,
vadimonis l.,,
lago di portiglione,,
santa francesca di talamone - villa le terme,,
urvinum mataurense,,
volsinii,,
volsinii novi,,
senones,,
traianus,,
trebula mutuesca,,
mutuscae,,
vulci,,
velch,,
ólkion,,
tetricus m.,,
monti sibillini,,
sibylline mountains,,
spoletium,,
spol?tion,,
vettona,,
vicus novus,,
ad novas,,
tinna,,
settefinestre,,
soracte,,
monte soratte,,
tinea,,
tinia,,
teneas,,
tuscana,,
tuscania,,
toscanella,,
zerninus,,
vignanello,,
vestini,,
ouestinoi,,
statonia,,
statonia,,
piammiano,,
umbria,,
umbri,,
vespasiae,,
statulae,,
septempeda,,
septempeda,,
tirinus,,
tuficum,,
tifernum mataurense,,
vicus martis,,
vicus matrini,,
tifernum tiberinum,,
tuder,,
toûder,,
tiora matiene,,
tiora matiene,,
sestinum,,
sestino,,
umbro,,
tessuinus,,
suana,,
sorrina,,
sentinum,,
sentinon,,
tolenus,,
truentus,,
fiume tronto,,
sutrium,,
soutrion,,
colonia coniuncta iulia sutrina,,
visentium,,
trebiae,,
velzna,,
volsinii veteres,,
ourbibentos,,
orvieto,,
suasa,,
suasani,,
tarchna,,
tarquinii,,
*tarchuna,,
tarquinia,,
urvinum hortense,,
urbs salvia,,
teate,,
chieti,,
teata,,
teatini marrucinorum,,
succosa,,
velini l.,,
lacus velinus,,
sena,,
trea,,
volusii,,
villa dei volusii,,
sappinates,,
sapinia tribus,,
trevignano romano,,
tolentinum,,
sepernates,,
ben shemen,,
ben shemen,,
tebiltu,,
gabb?ri-b?nî,,
gabb?ri-ibni,,
sur jureh,,
pol-e dokhtar,,
rasm al-?anjara,,
san casciano dei bagni,,
ostra,,
pallia,,
monti della tolfa,,
minio,,
pinna,,
nelurus,,
prolaqueum,,
planina,,
ortona,,
hortona,,
naharcer,,
osa,,
pitinum pisaurense,,
nemora vacunae,,
misco,,
pallanum,,
quintianum,,
nepet,,
nepeta,,
nepesinus,,
praetuttii,,
plestinus l.,,
pleistín? límn?,,
numana,,
sabatinus lacus,,
lago di bracciano,,
limne sabata,,
rosia campus,,
rosea rura,,
misus,,
picenum,,
pikenon,,
palmensis ager,,
rostrata villa,,
polimartium,,
sabini,,
sabinoi,,
nursia,,
perusia,,
perugia,,
perousia,,
augusta perusia colonia vibia,,
orcla,,
norchia,,
plestia,,
colfiorito,,
potentia,,
polentia,,
nequinum,,
narnia,,
narni,,
narnia,,
rusellae,,
roselle,,
rousilanoi,,
rusellani,,
phalacrinae,,
falacrinae,,
monteferetra,,
peltuinum,,
regis villa,,
regae,,
rhegisouilla,,
sacraria,,
saena,,
sena iulia,,
pausulae,,
pausulani,,
monte calvo,,
madonna dei colori roman villa,,
nuceria,,
nucerio camellaria,,
ocriculum,,
otricoli,,
pisaurus,,
meuania,,
meouania,,
poggio civitate,,
paganica,,
rapinium,,
sagrus,,
sagros,,
sangro,,
ossaia,,
villa romana di ossaia-la tufa,,
pitinum mergens,,
nar,,
nera,,
nar,,
pitinum,,
ostia aterni,,
reate,,
rieti,,
reate,,
paeligni,,
mevaniola,,
pisaurum,,
tenginskaya,,
kurhan perep'yatykha,,
kurgan perepetovka,,
ad octavum,,
ad vicesimum,,
ad aesim,,
ad fines,,
ad casas caesarianas,,
ad centesimum,,
ad aesim,,
acquarossa,,
ad aquas,,
ad statuas,,
tell al-mishrifeh,,
qa?n??,,
qa?na,,
lees hall roman camp,,
old bouleuterion,,
metroon,,
to boleutérion,,
m?tr?on,,
agoraíou diòs b?mós,,
yabi,,
bakr ?w?,,
ba?in,,
bassatki,,
casa della piccola fontana,,
casa della piccola fontana a musaico,,
casa della seconda fontana,,
casa della seconda fontana di mosaico,,
house of the landscapes,,
vi.8.23,,
sulaiymah,,
piazzale delle corporazioni,,
central palace,,
?kal er?ni,,
southwest palace,,
?kal aššur-a?u-iddina,,
amberd,,
ašnakkum,,
tall sh?ghir b?z?r,,
chagar bazar,,
chagar bazar,,
delian league,,
hercules sullanus,,
castello di bominaco,,
thourion,,
fiumicino,,
santuario di portonaccio a veio,,
arch of caracalla,,
baduldua,,
bADULLISÂ,,
lacus sannaus,,
orestis,,
salluntum,,
soneio,,
lyke,,
pelion,,
meteon,,
pons servili,,
omphalion,,
petra,,
nestos,,
pistum,,
palaeste,,
pelagoniae fauces,,
lynkos,,
orikon,,
oricum,,
sason,,
nicia,,
mathis,,
pautalia,,
scodra,,
nymphaeum,,
pelagonia,,
pelagonia,,
parauaea,,
messapion,,
gjiri i palermos,,
porto polermo,,
panormos limen,,
pelagonia,,
nymphaion,,
scupi,,
parthini,,
melitonus,,
nikaia,,
klos,,
skardon,,
skardon oros (to),,
scirtari,,
scirtiana,,
skombros,,
meropus m.,,
aeropus m.,,
olcinium,,
vicinium,,
pylon,,
penestae,,
lychnidos,,
lychnidós,,
scampis,,
sparata,,
neapolis,,
pirustae,,
spinopara,,
scaptopara,,
lychnidus l.,,
amantia,,
arnisa,,
argos orestikon,,
candaviae m.,,
anausaro,,
brygai,,
bevus,,
antigoneia,,
burgaraca,,
amyron,,
candabia,,
artatus,,
atintanis,,
atintanes,,
akrolissos,,
brucida,,
aoi stena,,
ardaxanos,,
alkomena,,
asnaus,,
claudanon,,
chaonia,,
chaonia,,
apollonia,,
apoll?nía,,
agrianes,,
barbanna,,
boioi,,
aquae,,
antipatreia,,
bryanion,,
bruanium,,
chimaira,,
boion,,
bouthoe,,
ceraunii,,
clodiana,,
aulon,,
albanopolis,,
clausala,,
ceramiae,,
ceramia,,
aous,,
aias,,
aoos,,
auos,,
apsos,,
cellae,,
creveni,,
ad quintum,,
battyna,,
argyas,,
argestaioi,,
antibaris,,
dardania,,
dardani,,
byllis,,
argestaeus campus,,
beue,,
argyros,,
ad picarias,,
ad picaria,,
codrion,,
castra,,
parembole,,
acroceraunia pr.,,
ad novas,,
ad acroceraunia,,
ad dianam,,
eordaikos potamos,,
labeatae,,
illyrii,,
grande,,
keletron,,
herakleia,,
herakleia lynkestis,,
genesis,,
dassaretis,,
hapsos,,
apsos,,
dentheletai,,
kOLOBAISE,,
gabuleum,,
helice,,
hekatompedon,,
dyrrhachium,,
dyrrachium,,
epidamnos,,
halata,,
alata,,
derriopos,,
deuriopus,,
kerax,,
lissus,,
kelydnos,,
genusus,,
drilon,,
diabolis,,
egerica,,
karistoron,,
extuomne,,
dimalion,,
dostoneoi,,
labeatis l.,,
lake skadar,,
doclea,,
grandavia,,
illyricum,,
kaloikinoi,,
eratyra,,
encheleioi,,
laiaioi,,
germania,,
dounax,,
assur archive 45,,
n 30 archive,,
assur archive 46,,
n 31 archive,,
perseis,,
ululeus dyrrhacii,,
thronion,,
pisantinoi,,
primoula,,
pissaion,,
strymepalis,,
pluinna,,
sarnous,,
polyanthos,,
praesidium,,
sation,,
triklaroi,,
parthos,,
patras,,
?nand?ktepe,,
pollia,,
nisida agios nikolaos,,
lamud statio,,
brygia,,
marusio,,
bassania,,
bassanitae,,
corragum,,
bedyndia,,
bryne,,
alalkomenai,,
athacum tumulus,,
damastion,,
osphagus,,
orgyssos,,
orgessus,,
gerous,,
grabaei,,
daulia,,
antania,,
antanoi,,
dexaroi,,
arbon,,
oaeneum oppidum,,
krannestai,,
abroi,,
kormestai,,
astaciae,,
draudacum castellum,,
ottolobus,,
noutria,,
kydrai,,
birziminium,,
bersumno,,
lynkos,,
boreas dyrraci m.,,
lebaia,,
cinna,,
sinna,,
kreonion,,
castillo de montalban,,
bagni di nerone,,
çatal höyük,,
çatal hüyük,,
ulpiana,,
varis,,
treiecto,,
stefana,,
sportela,,
tranupara,,
vizi(...),,
triballoi,,
stefanaphana,,
tres tabernae,,
theranda,,
vicianum,,
stuberra,,
stymbara,,
?epigovo,,
uscana,,
taulantioi,,
oletandros,,
casa del chirurgo,,
house of the surgeon,,
el kab,,
ninguaria,,
castellina del marangone,,
via cassia,,
tall ‘atij,,
chugh? pahn,,
napetinei,,
turiostu,,
ursentini,,
ulurtini,,
vergellus,,
lucos,,
corinenses,,
aveldius,,
katarakta,,
arenio,,
pisandes,,
talion,,
anni forum,,
animula,,
firmum,,
kaikinon,,
pactius,,
deciani,,
palionenses,,
apina,,
keraunilia,,
oenotrides,,
aulon,,
collatia,,
mirtum,,
camalatrus,,
calamatrus,,
severianum,,
irini,,
fratuertium,,
fratuentium,,
alfellani,,
mardonia,,
cathena,,
beleianum,,
nauna,,
acidios,,
hieros lophos,,
accua,,
acuca oppidum,,
netion,,
canales,,
mateolani,,
aletrini,,
istros,,
senum,,
caelianum,,
romulea,,
monadi,,
ad veneris,,
graxa,,
iapyx,,
abydon,,
sontini,,
campi veteres,,
matinates,,
metinates,,
scinasium,,
miltopes,,
sarmadium,,
callifae,,
borcani,,
natini,,
portus tarentinus,,
sirini,,
in honoratianum,,
ad pinum,,
opino,,
trica,,
arusini campi,,
dardi,,
apenestai,,
erculaneum,,
kalasarna,,
sublupatia,,
sub lupatia,,
portus garnae,,
portus aggasus,,
strapellini,,
kandane,,
ernesto,,
apamestini,,
leucothea,,
argentini,,
ouertinai,,
thebae lucanae,,
umma,,
????,,
tall ???a,,
????,,
tall j?ka,,
regio ii apulia et calabria,,
regio i,,
hepta phreata,,
aras,,
delibaba,,
odeion of perikles,,
?ideîon,,
ágios fílon,,
sanctuary of apollo at halieis,,
lion gate at mycenae,,
tempio capitolino di brescia,,
festoi,,
korykion antron,,
corycius specus,,
cennet ve cehennem,,
giza,,
iapygia pr.,,
akra iapygia,,
acra iapygia,,
capo santa maria di leuca,,
cape leuca,,
sallentinum promunturium,,
salapia,,
salpiai,,
salapiai,,
salpia,,
salinae,,
silvium,,
sidis,,
silvini,,
silouion,,
peucetii,,
peuketioi,,
respa,,
regio auffeeiana,,
sipous,,
sipontum,,
siponto,,
salapia,,
salpiai,,
salapiai,,
salpia,,
elpia,,
sallentini,,
potentia,,
scamnum,,
rudiae,,
rodiae,,
paestanus sinus,,
poseidoniates kolpos,,
golfo di salerno,,
poseideion akron,,
samnites,,
saunitai,,
planisium,,
pandosia,,
poediculi,,
p(o)educuli,,
saltus carminianensis,,
poseidonia,,
paestum,,
pestu,,
posidonia,,
paistos,,
paestum,,
ripacandida,,
rudas,,
budas,,
ponte longo,,
pordona,,
pantanus l.,,
pagus vetanus,,
rubi,,
ruvo di puglia,,
satrianum,,
satyrion,,
saturum,,
san brancato,,
ponte aufidi,,
pons aufidi,,
praetorium laverianum,,
pretorium laverianum,,
sicalenum,,
kalena,,
silarus,,
sele,,
praetorium publiLIanum,,
salapina palus,,
salpina palus,,
karbinai,,
neretum,,
nardò,,
heras ieron tes argoas,,
hadrianou hormos,,
hera,,
tavole palatine,,
nares lucanae,,
numistro,,
numistron,,
hyria,,
uria,,
uria garganica,,
lucus aquilonensis,,
aquilonis mutatio,,
messapii,,
ligures corneliani,,
iónios kólpos,,
tarentinus sinus,,
gulf of taranto,,
golfo di taranto,,
mesochorum,,
luceria,,
noukería apoulôn,,
noukeria,,
lucera,,
loukeria,,
hirpini,,
hirpinoi,,
iapyges,,
leuternia,,
metapontum,,
pantanello,,
metapontion,,
lucania,,
leukania,,
hydruntum,,
hydrous,,
otranto,,
lupiae,,
lupia,,
lubias,,
lecce,,
loupiai,,
merinum,,
grumentum,,
grumento nova,,
groumenton,,
grumentum,,
leuca,,
portus sallentinus,,
grumum,,
grumbestini,,
mefitis,,
marcellianum,,
natiolum,,
norba,,
conversano,,
norbanenses,,
larinum,,
larino,,
herdoniae,,
ardaneae,,
civitas serdonis,,
kerdonia,,
ordona,,
scavi archeologici di herdonia,,
erdonia,,
herdonia,,
herdonienses,,
manduria,,
mandonion,,
amandrinum,,
mandurion,,
kallipolis,,
anxa,,
gallipoli,,
leucosia,,
hales,,
trimerus,,
taras,,
taras,,
tarentum,,
neptunia,,
oebalia,,
venusia,,
vibinum,,
vibarna,,
soletum,,
urias sinus,,
turum,,
thuriae,,
tutini,,
tegianum,,
uzentum,,
ouxenton,,
augentum,,
uzintum,,
uzentini,,
ugento,,
vultur m.,,
voltur m.,,
uria,,
varia,,
hyria,,
teanum apulum,,
apoulon teanon,,
teanum apulorum,,
stournoi,,
austranum,,
stulni,,
turres iulianae,,
zeus aglaios,,
turris caesaris,,
turres aurelianae,,
statio caesariana,,
volcei,,
tatinie,,
turenum,,
tirenum,,
veretum,,
bARIS,,
beretum,,
tanager,,
vico mendicoleo,,
mendilegio,,
mendileio,,
sub romula,,
valetium,,
balesium,,
valentia,,
balentium,,
tamarus,,
vescellium,,
vescellani,,
trivici villa,,
aquilo,,
auxanum,,
anxanum,,
ad silarum,,
aecae,,
balabo,,
aufidus,,
canna,,
ofanto,,
aufidena,,
aufinum,,
aufidum,,
aeclanum,,
eclano,,
aeculanum,,
aeculani,,
mirabella eclano,,
ad speluncas,,
aquilonia,,
ad decimum,,
alburnUS,,
baletium,,
aletium,,
atre,,
argos hippium,,
arpi,,
argyripa,,
argos hippium,,
area archeologica di passo di corvo,,
arpoi,,
argyrippa,,
aciris,,
acheruntia,,
aceruntia,,
barduli,,
atinas campus,,
alburnus portus,,
ad duodecimum,,
atina,,
atena lucana,,
ad calorem,,
ad fluvium bradanum,,
althainos,,
acerronia,,
aceronia,,
acerina,,
ampsancti valles,,
amsancti valles,,
ad pirum,,
bantia,,
banzi,,
ad tanagrum,,
ad tanarum,,
ascoli satriano,,
ausculum,,
apuli,,
azetium,,
aegetini,,
ezetium,,
aequum tuticum,,
equus tuticus,,
ad quintumdecimum,,
apulia,,
ad undecimum,,
acalander,,
talandrus,,
akalandros,,
anxia,,
cannae,,
caelia,,
cerbalus,,
ergitium,,
ergitiu,,
garganus m.,,
choirades nesoi,,
isole cheradi,,
basta,,
bausta,,
basterbini,,
parco dei guerrieri,,
corneli,,
calabria,,
calabri,,
coppa nevigata,,
chones,,
diomedis campi,,
campus diomedis,,
carmeia,,
brundisium,,
brentesion,,
brindisi,,
brindisi,,
daunii,,
daunioi,,
eburum,,
canusium,,
kanusion,,
egnatia,,
gnathia,,
gnatia,,
bradanus,,
furfane,,
forum popili,,
garganou kolpos,,
forum novum,,
butuntum,,
butuntinenses,,
blera,,
compsa,,
compsani,,
drion,,
diria,,
dertum,,
frigento,,
diomedeae,,
isole tremiti,,
consilinum,,
cosilinum,,
cosilianum,,
consilinum castrum,,
forentum,,
galaesus,,
gereonium,,
gerounion,,
casuentus,,
gargani pr.,,
cozzo presepe,,
barium,,
caelia,,
kailia,,
fertur,,
frento,,
castrum minervae,,
athenaion,,
limen aphrodites,,
castro,,
castra minervae,,
athenas hieron,,
genusia,,
genusium,,
villa dei papiri,,
villa of the papyri,,
case romane del celio,,
rahi-ilu,,
ra'il,,
imgur-enlil,,
abbey of san clemente a casauria,,
abbazia di san clemente a casauria,,
forum iulium,,
forum caesaris,,
temple de diane,,
northwest palace,,
?kal dupr?ni,,
via antiniana,,
via traiana frentana,,
forum iulii,,
feroniae l.,,
koukoulon,,
cucullum,,
forum claudii,,
pagus urbanus,,
via flacca,,
satura eadem stura paludes,,
sabate,,
ampsanctus l.,,
via consularis campana,,
emporion (via appia antica),,
la petrina necropolis,,
tholotos taphos pharslon,,
ianiculum,,
ianouklos,,
gianicolo,,
hippagreta,,
k?r-tukult?-ninurta,,
k?r-tukult?-ninurta,,
k?r tukulti-ninurta,,
kar tukulti ninurta,,
tulul al ?aqr,,
tul?l al-?aqar,,
kar tuk.-n.,,
k?r-tukkult?-ninurta,,
tul?l al-‘aqir,,
tabr?z,,
tabrez?,,
tabrezion,,
tabris,,
täbris,,
tauris,,
tawr?ž,,
?awr?š,,
yacimiento de los villares,,
public bath of pella,,
assur archive 43,,
n 28 archive,,
arco di trevi,,
riblah,,
rablê,,
villa di orazio,,
arenes d'arles,,
freginates,,
cingulani,,
caenina,,
caeninenses,,
ilionenses,,
opikoi,,
manates,,
forentani,,
cominium,,
corioli,,
korilla,,
coriolani,,
ligustinus pagus,,
kramones,,
ferentinum novum,,
ferentinum,,
longula,,
longola,,
longani,,
corbio,,
korbion,,
kabom,,
comini,,
forensis pagus,,
maesulus qui et vesulus m.,,
macrales,,
olliculani,,
imbrinium,,
caelanus pagus,,
cimetra,,
frentum,,
herculaneum,,
castra aniba,,
leboriae,,
lanita pagus,,
fascianus pagus,,
fresilia,,
censennia,,
capitulum hernicum,,
kapitoulon,,
ebutiana,,
myttianus pagus,,
laterium,,
minturnae,,
laternioi,,
milionia,,
murgantia,,
cameria,,
kameria,,
celemna,,
fabianus pagus,,
lanuenses,,
libitinus pagus,,
cusuetani,,
casilinum,,
herculanus,,
herculani pagus,,
munienses,,
lapillanus pagus,,
latinienses,,
duronia,,
meles,,
novem pagi,,
hortenses,,
carventum,,
carventon,,
arx carventana,,
catillus,,
gerounion,,
castrum invi,,
foce del fosso dell’incastro,,
castrum inui,,
capricolanus pagus,,
medullium,,
medullum,,
medullia,,
lavernium,,
mugilla,,
mogillanous,,
larissa,,
ecetra,,
echetranoi,,
martialis pagus,,
octulani,,
in monte grani,,
caedicius vicus,,
cliternia,,
fistelia,,
fensermia,,
hyria,,
kalene,,
ouerestis,,
luca,,
coras m.,,
cominium ocritum,,
orbitanium,,
lucanum,,
keraunioi m.,,
ficolenses,,
fortinum,,
cisauna,,
caedici,,
in monte carbonario,,
marmoreae,,
arentinus,,
beneventanus pagus,,
ausones,,
agrifanus pagus,,
allia,,
ameriola,,
ausona,,
batulum,,
arenata,,
ad matrem magnam,,
anxatini,,
anxates,,
arcanum,,
boedinus pagus,,
betifulum,,
arae muciae,,
abolani,,
bubetani,,
apiolae,,
apíola,,
ad novas,,
amunclus,,
ad pyrum,,
ad pyr,,
accienses,,
apollinaris pagus,,
boreontinoi,,
aquilonia,,
aquae scantiae,,
aprusculani pagus,,
aprusc pagus,,
bolani,,
ad canales,,
aequanus pagus,,
amyclae,,
albenses,,
articulanus,,
horticulanus pagus,,
aminaion,,
aequanus pagus,,
amitinum,,
alfaterni,,
artena,,
austicula,,
vignae,,
vignas,,
plistia,,
pleistike,,
tarinates,,
tifata,,
oppidum pirae,,
vercellium,,
sassula,,
sentianum,,
velienses,,
velia,,
septem pagi,,
satricum,,
venusia,,
pitonius,,
tellena,,
tellenai,,
tadiates,,
politorium,,
politorion,,
poletaurini,,
vimitellari,,
via cornelia,,
romulea,,
sisolenses,,
vicus palatius,,
suessa pometia,,
pometia,,
trifanum,,
palumbinum,,
trebium,,
sublacio,,
repperi m.,,
vicus petinus,,
tychai,,
solanon,,
via annia,,
tutienses cf. tutia,,
tutienses,,
roboaria,,
urvinates,,
urvi,,
simbruinus,,
sabata,,
sabatini,,
veseris,,
panna,,
trasamuc pagus,,
syessa,,
via vitularia,,
solonium,,
solonius ager,,
solonion,,
via vitellia,,
via popilia,,
spurianus vicus,,
vicus esquilinus,,
querquetulani,,
sulmo,,
touxion,,
pedum,,
pedani,,
vescia,,
saeculanus pagus,,
sirpium,,
ulmanus pagus,,
romanus pagus,,
tucianus pagus,,
petrinus vicus,,
tolerium,,
tolerienses,,
venetulani,,
vitellia,,
vetelia,,
scantia silva,,
planisium,,
taurasia,,
vecellanus pagus,,
serennia,,
salmatia,,
vescellium,,
verrugo,,
erruca,,
salutaris pagus,,
sicani,,
taurania,,
plestina,,
scaptia,,
vella,,
pollusca,,
polusca,,
polouska,,
syllae,,
tifernum,,
piketia,,
tomb of queen khentkawes,,
pyramid of khentkaus i,,
uraš gate,,
abul-uraš,,
ikkibšu-nakari,,
ara della regina,,
salteras,,
salteras,,
aymont,,
andeualo,,
b?t sîn,,
damietta branch,,
damiette-arm,,
bousiritikos potamos,,
far? dumy?t,,
bousiritikos potamos,,
far? dumy??,,
ponte sfondato,,
tell sukas,,
tall souk?s,,
fossa neronis,,
fossa neronis,,
sacra via,,
pithekoussai,,
panapio,,
punicum,,
s. martinus,,
s. cornelia,,
pallanum,,
pandataria,,
ventotene,,
pandateria,,
pompeia palus,,
rufrae,,
rufrium,,
presenzano,,
pontia,,
ponza,,
pontia,,
s. benedictus,,
saltus vescinus,,
mefineis m.,,
pyrgi,,
santa severa,,
pyrgos,,
pyrgoi,,
pons campanus,,
pons auruncus,,
san vincenzo al volturno,,
salinae herculeae,,
pagus capriculanus,,
pentri,,
s. sebastianus,,
pagus meflanus,,
parthenope,,
neapolis,,
naples,,
napoli,,
pomptinus ager,,
salernum,,
castrum salerni,,
salernon,,
puteolanus sinus,,
crater,,
pons apollinis,,
pontiae,,
pontine islands,,
pagus sarclanus,,
samnium,,
pons tirenus,,
pompeii,,
pompeia,,
pompei,,
colonia cornelia veneria pompeianorum,,
pompei,,
regio statana,,
saepinum,,
altilia,,
sepinvm,,
saepinum,,
picentinus ager,,
palmaria,,
palmarola,,
s. giovanni in galdo,,
pitonia,,
prochyta,,
pagus vescinus,,
privernum,,
pribernon,,
privernates,,
roman villa of positano,,
positano,,
paludes minturnenses,,
pietrabbondante,,
pomptinae paludes,,
hagioi apostoloi,,
trebula,,
sulmo,,
sulmona,,
soulmôn,,
sinuessa,,
sinuesa,,
sinope,,
sinoéss?,,
ufens,,
sarno,,
sarnus,,
sarnos,,
tifernus mons,,
tarracinae,,
tarracina,,
anxur,,
anxyr,,
axur,,
terracina,,
supinum,,
vicus supinas,,
vicus anninus,,
vicus feniculensis,,
surrentum,,
surrenton,,
tifernus,,
phiternos potamos,,
sarnus,,
sirenae,,
super tamari fluvium,,
treba,,
trebani,,
sarrastes,,
tifata,,
tiphatina ore,,
schiavi di abruzzo,,
stabiae,,
savo,,
terventum,,
suessa aurunca,,
sirenes,,
seirenoussai,,
le sirenuse,,
li galli,,
sirpium,,
suessula,,
souessoula,,
trebula balliniensium,,
trebula balliensium,,
verulae,,
veroli,,
sebethus,,
taurasinus ager,,
saticula,,
scatebra,,
telesia,,
sora,,
sora,,
vesuvius m.,,
monte vesuvio,,
ouesouvios,,
mount vesuvius,,
speluncae,,
antro di tiberio,,
trinius,,
teanum sidicinum,,
teánon sidikinón,,
venafrum,,
ouénaphron,,
venafro,,
vicus palatius,,
uscosium,,
simbruini,,
colles simbruini,,
vicus (...)staniensis,,
taburnus m.,,
san vittore del lazio,,
sidicini,,
vicus novaniensis,,
ad novas,,
sinonia,,
vietri sul mare,,
marcina,,
urbana,,
panaThinaiko stadio,,
kallimarmaro,,
tò stádion tò panath?naikón,,
volturnus,,
ououltournos,,
volturnum,,
ououltoûrnos,,
villa euchelia,,
villa iovis,,
villa tiberii,,
volsci,,
ouolskoi,,
marcianus fundus,,
nuceriola,,
lucanus ager,,
marica,,
lucus maricae,,
nesis,,
niSIDA,,
minervae pr.,,
seirenousson akroterion,,
athenaion akron,,
punta campanella,,
neratii,,
laurinienses,,
lucus feroniae,,
marcianum,,
melpis,,
melfel,,
lucrinus l.,,
lago di lucrino,,
lokrinos kolpos,,
misenum pr.,,
capo miseno,,
lautulae,,
nola,,
misenum,,
misenon,,
latium,,
minerva,,
malborghetto,,
latium adiectum,,
minturnae,,
mintoúrnas,,
menturnis,,
nymphaeus,,
liris,,
clanis,,
leiris,,
oplontis,,
oplontis,,
nuceria alfaterna,,
nuceria,,
ligures baebiani,,
liternum,,
liternon,,
massicus m.,,
monte massico,,
marruvium,,
maroúion,,
san benedetto dei marsi,,
marrubio,,
santa maria di monteverde,,
santa maria di guglieto,,
aufidena,,
aufidena,,
castrum novum,,
bovianum,,
caiatia,,
caiazzo,,
casinum,,
cassino,,
phlegraei campi,,
phlegraean fields,,
campi flegrei,,
phlegraîon pedíon,,
capreae,,
capri,,
atella,,
caecubus ager,,
kaikoubos,,
cliternia,,
clanius,,
liternus,,
glanis,,
avernus l.,,
lago d'averno,,
áornos,,
boscotrecase,,
caudium,,
atina,,
atina,,
campania,,
kampania,,
capua,,
campana urbs,,
kapue,,
astura,,
cales,,
kirkaion akron,,
veneris pr.,,
kirkaion,,
boscoreale,,
caieta pr.,,
casilinum,,
kasilinon,,
caieta,,
kaiete,,
calatia,,
arx fregellana,,
rocca d'arce,,
carecini infernates,,
campanus ager,,
circeii 2,,
carecini supernates,,
baianus sinus,,
carseoli,,
carsioli,,
callifae,,
beneventum,,
maleventum,,
benebentos,,
beneuenton,,
benevento,,
colles leucogaei,,
cereatae marianae,,
kereate,,
cerfennia,,
cirfenna,,
bauli,,
baiae,,
baia,,
calor,,
arpinum,,
arpinus,,
arpino,,
arpina,,
circeii 1,,
cluturnum,,
buca,,
aurunci,,
campus stellas,,
capreae,,
capri,,
caedicius campus,,
clostra romana,,
clostra,,
angitiae lucus,,
nemus angitiae,,
lucus angitiae,,
acerrae,,
abelLA,,
aquinum,,
akounion,,
apollo et nymphae nitrodes,,
ad teglanum,,
ad septimum,,
ad octavum,,
aquae sinuessanae,,
amalfitana civitas,,
ad flexum,,
amasenus,,
aquae caeretanae,,
ad medias,,
aquae vescinae,,
ad turres albas,,
aesernia,,
isernia,,
la giostra,,
amplero,,
aletrium,,
alatri,,
alétrion,,
ad quartum,,
aenaria,,
pithekoussai,,
inarime,,
ischia,,
aequana,,
alfaterni,,
